Elevator_Fraction,Carbon_Debt_Mt,Break_Even_Years
0.000,1671.67,1253.75
0.020,1637.86,1225.29
0.041,1604.05,1196.97
0.061,1570.24,1168.79
0.082,1536.43,1140.75
0.102,1502.62,1112.85
0.122,1468.81,1085.10
0.143,1435.00,1057.48
0.163,1401.19,1030.00
0.184,1367.38,1002.65
0.204,1333.57,975.44
0.224,1299.76,948.37
0.245,1265.95,921.43
0.265,1232.14,894.62
0.286,1198.33,867.94
0.306,1164.52,841.39
0.327,1130.71,814.97
0.347,1096.90,788.68
0.367,1063.10,762.52
0.388,1029.29,736.48
0.408,995.48,710.57
0.429,961.67,684.79
0.449,927.86,659.12
0.469,894.05,633.58
0.490,860.24,608.17
0.510,826.43,582.87
0.531,792.62,557.70
0.551,758.81,532.64
0.571,725.00,507.70
0.592,691.19,482.88
0.612,657.38,458.18
0.633,623.57,433.59
0.653,589.76,409.12
0.673,555.95,384.77
0.694,522.14,360.52
0.714,488.33,336.39
0.735,454.52,312.38
0.755,420.71,288.47
0.776,386.90,264.68
0.796,353.10,240.99
0.816,319.29,217.41
0.837,285.48,193.94
0.857,251.67,170.58
0.878,217.86,147.33
0.898,184.05,124.18
0.918,150.24,101.14
0.939,116.43,78.20
0.959,82.62,55.37
0.980,48.81,32.63
1.000,15.00,10.01
